Nom : Tim	Gemmes : 280
Nom : Max	Gemmes : 80
Nom : Elsa	Gemmes : 40
Nom : GhostRider	Gemmes : 240
Nom : NightWolf	Gemmes : 600
Nom : CyberNinja	Gemmes : 400
Nom : Flo	Gemmes : 440
Nom : NeonPhoenix	Gemmes : 520
Nom : Livio	Gemmes : 720
Nom : Tom	Gemmes : 11480
Nom : Gwenn	Gemmes : 999
Nom : Robin	Gemmes : 6220
Nom : livio	Gemmes : 11400
Nom : anais	Gemmes : 40
Nom : cloclo	Gemmes : 2960
Nom : maxime	Gemmes : 15940
Nom : elsa	Gemmes : 2620
Nom : Alla	Gemmes : 3220
Nom : aLLA	Gemmes : 0
Nom : Alla	Gemmes : 0
Nom : A	Gemmes : 0
Nom : m	Gemmes : 0
Nom : livo	Gemmes : 0
Nom : l	Gemmes : 0
